" Copy"," Kopyala"
"Invalid subscription confirmation code.","Hatalı abonelik onay kodu."
"Message","Mesaj"
"Need to Confirm","Onay bekliyor"
"New Newsletter Template","Yeni Duyuru Teması"
"New Template","Yeni Duyuru Teması"
"Newsletter","Duyuru"
"Newsletter Message Preview","Duyuru Mesajı Önizleme"
"Newsletter Problem Reports","Duyuru Gönderimi Problem Raporları"
"Newsletter Queue","Duyuru Kuyruğu"
"Newsletter Section","Duyurular Bölümü"
"Newsletter Sign-up:","Duyuru Listesi Aboneliği:"
"Newsletter Styles","Duyuru Stilleri"
"Newsletter Subscribers","Duyuru Aboneleri"
"Newsletter Subscription","Duyuru Aboneliği"
"Newsletter Subscription Form Before","Duyuru Abonelik Formu Önce Olsun"
"Newsletter Subscriptions","Duyuru Abonelikleri"
"Newsletter Templates","Duyuru Temaları"
"Newsletter subscription confirmation","Duyuru abonelik onayı"
"Newsletter subscription success","Duyuru aboneliği tamamlandı"
"Newsletter unsubscription success","Duyuru abonelik iptali tamamlandı"
"No Templates Found","Tema bulunamadı"
"No problems found.","Problem bulunamadı."
"No subscribers selected.","Abone seçilmedi."
"Not Activated","Aktifleştirilmedi"
"Not Sent","Gönderilmedi"
"Pause","Duraklat"
"Paused","Duraklatıldı"
"Please enter a valid email address.","Lütfen geçerli bir e-mail adresi giriniz."
"Please enter new template name","Lütfen yeni tema adı giriniz"
"Please refer to exeption.log","exception.log dosyasına bakınız."
"Please select subscriber(s)","Lütfen abone seçiniz"
"Preview","Önizleme"
"Preview Template","Temayı Önizle"
"Processed","İşlendi"
"Queue Date Start","Kuyruk Başlama Tarihi"
"Queue Finish","Kuyruk Bitiş Tarihi"
"Queue Information","Kuyruk Bilgisi"
"Queue Newsletter...","Duyuru Kuyruğu..."
"Queue Start","Kuyruk Başlangıcı"
"Queue Subject","Kuyruk Konusu"
"Recipients","Alıcılar"
"Reset","Temizle"
"Resume","İşleme Devam Et"
"Return HTML Version","HTML Sürümüne Dön"
"Save As","Farklı Adla Kaydet"
"Save Newsletter","Duyuruyu Kaydet"
"Save Template","Temayı Kaydet"
"Save and Resume","Kaydet ve Geri Yükle"
"Selected problem subscribers have been unsubscribed.","Problem oluşturan aboneler abonelikten çıkarıldı."
"Selected problems have been deleted.","Seçili problemler silindi."
"Sender","Gönderici"
"Sender Email","Gönderici Email Adresi"
"Sender Name","Gönderici Adı"
"Sending","Gönderiliyor"
"Sent","Gönderildi"
"Sign Up for Our Newsletter:","Duyuru Listemize Abone Olun :"
"Sign up for our newsletter","Duyurularımıza abone olunuz"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Üzgünüz, misafir kullanıcıların duyuru listesine abone olmasına izin verilmiyor. Lütfen <a href=""%s"">üye olunuz</a>."
"Start","Başla"
"Status","Durum"
"Store","Mağaza"
"Store View","Mağaza Görünümü"
"Subject","Konu"
"Submit","Gönder"
"Subscribe","Abone Ol"
"Subscribed","Abone"
"Subscriber","Abone"
"Subscribers","Aboneler"
"Subscribers From","Aboneler"
"Subscription Options","Abonelik Seçenekleri"
"Success Email Sender","Tamamlandı mesajı için Mail Gönderici"
"Success Email Template","Tamamlandı mesajı için Email Teması"
"Template Content","Tema İçeriği"
"Template Information","Tema Bilgisi"
"Template Name","Tema Adı"
"Template Styles","Tema Stilleri"
"Template Subject","Tema Konusu"
"Template Type","Tema Tipi"
"Thank you for your subscription.","Abone olduğunuz için teşekkür ederiz."
"The subscription has been removed.","Abonelik sonlandırıldı."
"The subscription has been saved.","Abonelik kaydedildi."
"There was a problem with the subscription.","Abonelikle ilgili sorun oluştu."
"There was a problem with the subscription: %s","Abonelik esnasında bir sorun oluştu : %s"
"There was a problem with the un-subscription.","Abonelik iptali işlemi esnasında bir hata oluştu."
"This email address is already assigned to another user.","Bu e-mail adresi başka bir kullanıcı ile ilişkilendirilmiş."
"Type","Tip"
"Unconfirmed","Onaylanmamış"
"Unsubscribe","Abonelik iptali"
"Unsubscribe Selected","Seçili olan abonelikleri iptal et"
"Unsubscribed","Abone Değil"
"Unsubscription Email Sender","Abonelik iptali için Email Göndericisi"
"Unsubscription Email Template","Abonelik iptali için Email Teması"
"View Newsletter","Duyuruyu Göster"
"Website","Web Sitesi"
"You have been unsubscribed.","Aboneliğiniz sonlandırıldı."
"Your subscription has been confirmed.","Aboneliğiniz onaylandı."
