"# of Uses","#ன் பயன்கள் "
"%s tag(s) have been accepted for moderation.","% s டேக் (கள்) மதிப்பாய்வுக்காக ஏற்றுக்கொள்ளப்பட்டுள்ளது."
"<strong>Tag Name:</strong> %s","<strong> டேக் பெயர்: </strong>%s"
"Other people marked this product with these tags:","மற்ற மக்கள் இந்த குறிச்சொற்களை இந்த பொருட்களுக்கு  குறித்தது:"
"Pending","நிலுவையில்"
"Pending Tags","நிலுவையிலுள்ள குறிச்சொற்கள்"
"Popular","பிரபலமான"
"Popular Tags","பிரபலமான குறிச்சொற்கள்"
"Price","விலை"
"Product Name","பொருள் பெயர்"
"Product SKU","பொருள் SKU"
"Product Tag API","பொருள் குறிச்சொல் ஏபிஐ"
"Product Tags","பொருள் குறிச்சொற்கள்"
"Products","பொருட்கள்"
"Products Tagged by Administrators","நிர்வாகிகள் மூலம் குறியிடப்பட்ட பொருட்கள்"
"Products Tagged by Customers","வாடிக்கையாளர்கள் குறித்துள்ள பொருட்கள்"
"Products Tagged with '%s'","பொருட்கள் '% s' உடன் குறியிடப்பட்ட"
"Products tagged with '%s'","பொருட்கள் '% s' உடன் குறியிடப்பட்ட"
"Rebuild Tag aggregation data","குறிச்சொல் தரவை மீண்டும் ஒருங்கிணைத்தல் "
"Remove","நீக்குக"
"Remove product tag","பொருள் குறிச்சொல்லை நீக்க"
"Retrieve list of tags by product","பொருட்களின் அடிப்படையில் குறிச்சொற்களின் லிஸ்டை பெருக"
"Retrieve product tag info","பொருளின் குறிச்சொல் தகவலை பெருக"
"SKU","ஸ்கு "
"Save Tag","குறிச்சொல்லை  சேமிக்கவும் "
"Save and Continue Edit","சேமித்த பின்பு தொகுத்தலை தொடரவும் "
"Status","நிலை "
"Store View","கடை பார்வை முறை "
"Tag","குறிச்சொல்"
"Tag ""%s"" has already been added to the product.","இந்த ""%s"" குறிச்சொல் ஏற்க்கனவே  பொருளிற்கு சேர்க்கப்பட்டுவிட்டது."
"Tag ""%s"" has been added to the product.","இந்த ""%s"" குறிச்சொல்  பொருளிற்கு சேர்க்கப்பட்டுவிட்டது."
"Tag ""%s"" has been rejected by administrator.","இந்த ""%s"" குறிச்சொல் நிர்வாகியல் நிராகரிக்கப்பட்டுவிட்டது."
"Tag Aggregation Data","குறிச்சொல் ஒருங்கிணைக்கப்பட்ட தரவு "
"Tag Name","குறிச்சொல்லின் பெயர் "
"Tagged Products List","குறிச்சொல்லிடப்பட்ட பொருட்களின் பட்டியல் "
"Tags","குறிச்சொற்கள் "
"Tags List (All Available)","குறிச்சொற்களின் பட்டியல் (இருக்கும் அனைத்தும்)"
"Tags List Before","பழைய குறிச்சொற்களின் பட்டியல் "
"Tags:","குறிச்சொற்கள்:"
"Telephone","தொலைபேசி "
"The tag has been deleted.","இந்த குறிச்சொல் நீக்கப்பட்டுவிட்டது "
"There are no tags available.","எந்த குறிச்சொற்களும் கிடைக்கவில்லை "
"Unable to find any products tagged with '%s' in the current store","""%s"" குறிச்சொல்லிடப்பட்ட எந்த ஒரு பொருளும் தற்போதைய ஸ்டோரில் கண்டுபிடிக்க முடியவில்லை"
"Unable to remove tag. Please, try again later.","குறிச்சொல்லை நீக்க முடியவில்லை. தயவுசெய்து சிறிது நேரம் கழித்து முயற்சிக்கவும்."
"Unable to save tag(s).","குறிச்சொல்(ற்களை) சேமிக்க முடியவில்லை "
"Update","இற்றைப்படுத்து"
"Update product tag","குறிச்சொல்லை மேம்படுத்தவும் "
"Use spaces to separate tags. Use single quotes (') for phrases.","குறிச்சொற்க்களை  பிரிக்க ஸ்பேசை பயன்படுத்தவும். வாக்கியங்களுக்கு ஒட்டறை கார்புள்ளியை (') பயன்படுத்தவும்."
"View All Tags","அனைத்து குறிச்சொற்க்களையும் பார்க்க "
"View Customers","வாடிக்கையாளர்களை பார்க்க "
"View Products","பொருட்களை பார்வையிட"
"XML","எக்க்ஸ்எம்ல்"
"You have not tagged any products yet.","இந்த பொருளுக்கு இன்னும் எந்த குறிச்சொல்லும் சேர்க்கப்படவில்லை "
"ZIP/Post Code","அஞ்சல் எண்"
"[STORE VIEW]","[ஸ்டோர் பார்வை]"
