"%s was added to your shopping cart.","%s tika pievienota Jūsu grozam."
"%s was updated in your shopping cart.","%s was updated in your shopping cart."
"* Required Fields","* Obilgāti aizpildāmie lauki"
"Multishipping Checkout Billing Information Step","Multishipping Checkout Billing Information Step"
"Multishipping Checkout Customer Address Edit Form","Multishipping Checkout Customer Address Edit Form"
"Multishipping Checkout Overview","Multishipping Checkout Overview"
"Multishipping Checkout Shipping Address Creation","Multishipping Checkout Shipping Address Creation"
"Multishipping Checkout Shipping Address Edit Form","Multishipping Checkout Shipping Address Edit Form"
"Multishipping Checkout Shipping Address Selection","Multishipping Checkout Shipping Address Selection"
"Multishipping Checkout Shipping Information Step","Multishipping Checkout Shipping Information Step"
"Multishipping Checkout Success","Multishipping Checkout Success"
"My Cart","Pirkumu grozs"
"My Cart (%s item)","Jūsu grozā ir (%s prece(s))"
"My Cart (%s items)","Mans grozs (%s preces)"
"My Cart Extra Actions","My Cart Extra Actions"
"My Cart Link","Mana groza saite"
"New Address","Norādīt jaunu adresi"
"New Condition","New Condition"
"New Terms and Conditions","New Terms and Conditions"
"No Payment Methods","No Payment Methods"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER"
"One Page Checkout","One Page Checkout"
"One Page Checkout Failure","One Page Checkout Failure"
"One Page Checkout Overview","One Page Checkout Overview"
"One Page Checkout Success","One Page Checkout Success"
"One item of products do not have identifier or sku","One item of products do not have identifier or sku"
"One item of products is not belong any of quote item","One item of products is not belong any of quote item"
"Order #","Order #"
"Order Review","Pārlūkot pasūtījumu"
"Order Success","Pasūtījums veikts"
"Order place error.","Order place error."
"Other Items in Your Order","Other Items in Your Order"
"Overview Items After","Overview Items After"
"Password","Parole"
"Payment Failed Email Reciever","Payment Failed Email Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Payment Information","Apmaksas veids"
"Payment Method","Apmaksas veids"
"Payment Methods After Checkout Button","Payment Methods After Checkout Button"
"Payment Methods Before Checkout Button","Payment Methods Before Checkout Button"
"Payment method information","Payment method information"
"Payment method is not defined","Maksāšanas veids nav definēts"
"Payment methods in shopping cart","Payment methods in shopping cart"
"Payment profile # %s: ""%s"".","Payment profile # %s: ""%s""."
"Place Order","Veikt pasūtījumu"
"Please agree to all Terms and Conditions before placing the order.","Please agree to all Terms and Conditions before placing the order."
"Please agree to all Terms and Conditions before placing the orders.","Please agree to all Terms and Conditions before placing the orders."
"Please agree to all the terms and conditions before placing the order.","Please agree to all the terms and conditions before placing the order."
"Please check billing address information.","Please check billing address information."
"Please check shipping address information.","Please check shipping address information."
"Please check shipping addresses information.","Please check shipping addresses information."
"Please choose to register or to checkout as a guest","Please choose to register or to checkout as a guest"
"Please log in below:","Turpināt šeit:"
"Please select region, state or province","Lūdzu izvēlieties reģionu, štatu vai provinci"
"Please select shipping address for applicable items","Please select shipping address for applicable items"
"Please select shipping methods for all addresses","Norādiet  piegādes veidu katrai adresei"
"Please select valid payment method.","Please select valid payment method."
"Please specify payment method.","Please specify payment method."
"Please specify shipping method.","Please specify shipping method."
"Please specify shipping methods for all addresses.","Please specify shipping methods for all addresses."
"Price","Cena"
"Proceed to Checkout","Norēķināties"
"Product","Prece"
"Product Name","Preces nosaukums"
"Products","Products"
"Qty","Skaits"
"Qty:","Qty:"
"Quantity was recalculated from %d to %d","Quantity was recalculated from %d to %d"
"Quote Lifetime (days)","Kvotas ilgums (dienas)"
"Quote item does not exist.","Quote item does not exist."
"Quote item is not found.","Quote item is not found."
"Recently added item(s)","Jaunākā(s) prece(s) grozā"
"Register","Reģistrēties"
"Register and save time!","Reģistrēšanās ļauj ietupīt laiku!"
"Register to Create an Account","Reģistrējaties lai izveidotu pieejas kontu"
"Register with us for future convenience:","Reģistrēšanās nodrošina:"
"Remove Item","Izņemt preci"
"Remove This Item","Remove This Item"
"Remove coupon code from shopping cart","Remove coupon code from shopping cart"
"Remove item","Remove item"
"Remove product from shopping cart","Remove product from shopping cart"
"Remove product(s) from shopping cart","Remove product(s) from shopping cart"
"Require Customer To Be Logged In To Checkout","Require Customer To Be Logged In To Checkout"
"Retrieve information about shopping cart","Retrieve information about shopping cart"
"Review Order","Pārskatīt pasūtījumu"
"Review Order - %s","Pārskatīt pasūtījumu - %s"
"Sales","Sales"
"Save Condition","Save Condition"
"Save in address book","Saglabāt adrešu grāmatā"
"See price before order confirmation.","See price before order confirmation."
"Select Address","Izvēlieties adresi"
"Select Addresses","Adrešu izvēle"
"Select Shipping Method","Izvēlieties piegādes veidu"
"Select State/Province...","Norādiet štatu/reģionu..."
"Select a billing address from your address book or enter a new address.","Norādiet adresi rēķina sagatavošanai."
"Select a shipping address from your address book or enter a new address.","Norādiet preču piegādes adresi."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send To","Send To"
"Separate by "","".","Separate by "",""."
"Set customer for shopping cart","Set customer for shopping cart"
"Set customer's addresses in shopping cart","Set customer's addresses in shopping cart"
"Set payment method","Set payment method"
"Set shipping method","Set shipping method"
"Ship to Multiple Addresses","Piegāde uz vairākām adresēsm"
"Ship to different address","Norādīt citu piegādes adresi"
"Ship to this address","Lietot šo kā piegādes adresi"
"Shipping Address","Piegādes adrese"
"Shipping Information","Piegādes adrese"
"Shipping Method","Piegādes veids"
"Shipping Methods","Piegādes veidi"
"Shipping To","Shipping To"
"Shipping information","Shipping information"
"Shipping method has not been selected yet","Nav norādīts piegādes veids"
"Shipping methods in shopping cart","Shipping methods in shopping cart"
"Shipping selection is not applicable.","Shipping selection is not applicable."
"Shopping Cart","Pirkumu grozs"
"Shopping Cart Form Before","Shopping Cart Form Before"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Shopping Cart Sidebar Extra Actions","Shopping Cart Sidebar Extra Actions"
"Shopping Cart is Empty","Pirkumu grozs ir tukšs"
"Shopping cart ability to set coupon code","Shopping cart ability to set coupon code"
"Show Content as","Show Content as"
"Some of the requested products are not available in the desired quantity.","Some of the requested products are not available in the desired quantity."
"Some of the requested products are unavailable.","Some of the requested products are unavailable."
"Some products quantities were recalculated because of quantity increment mismatch","Some products quantities were recalculated because of quantity increment mismatch"
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Sorry, no quotes are available for this order at this time.","Atvainojiet, šobrīd pasūtījumam nav pieejamas kvotas."
"State/Province","Rajons"
"Status","Status"
"Store View","Store View"
"Street Address","Iela"
"Street Address %s","Street Address %s"
"Submitting order information...","Pasūtījuma informācijas nosūtīšana..."
"Subtotal","Summa"
"Subtotal must exceed minimum order amount","Subtotal must exceed minimum order amount"
"Telephone","Tālrunis"
"Terms and Conditions","Terms and Conditions"
"Terms and Conditions Information","Terms and Conditions Information"
"Terms and conditions","Terms and conditions"
"Text","Text"
"Thank you for your purchase!","Paldies par pirkumu!"
"The condition has been deleted","The condition has been deleted"
"The condition has been saved.","The condition has been saved."
"The onepage checkout is disabled.","The onepage checkout is disabled."
"The product could not be found.","The product could not be found."
"The product does not exist.","The product does not exist."
"There are <a href=""%s"">%s items</a> in your cart.","There are <a href=""%s"">%s items</a> in your cart."
"There is <a href=""%s"">1 item</a> in your cart.","There is <a href=""%s"">1 item</a> in your cart."
"There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account.","There is already a customer registered using this email address. Please login using this email address or enter a different email address to register your account."
"There was an error processing your order. Please contact us or try again later.","Notikusi kļūme apstrādājot Jūsu pasūtījumu. Lūdzu kontaktējaties ar mums vai mēģiniet vēlreiz vēlāk."
"This condition no longer exists.","This condition no longer exists."
"Total","Total"
"Total for this address","Kopā uz šo adresi"
"Unable to set Payment Method.","Unable to set Payment Method."
"Unit Price","Vienības cena"
"Update Cart","Update Cart"
"Update Qty &amp; Addresses","Atjaunot daudz. &amp; Adreses"
"Update Shopping Cart","Pārrēķināt kopsummu"
"Update Total","Pārrēķināt kopsummu"
"Update product quantities in shopping cart","Update product quantities in shopping cart"
"Update product(s) quantities in shopping cart","Update product(s) quantities in shopping cart"
"Use Billing Address","Lietot rēķina adresi"
"VAT Number","VAT Number"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","Mēs apstrādājam Jūsu pasūtījumu un Jums drīz saņemsiet e-pastu ar detalizētu pasūtījuma informāciju. Tikko pasūtījums tiks nosūtīts, Jūs saņemsiet e-pastu ar www saiti lai varētu izsekot tā piegādes progresu."
"What's this?","What's this?"
"You have no items in your shopping cart.","Grozs ir tukšs."
"You will receive an order confirmation email with details of your order and a link to track its progress.","Jūs saņemsiet pasūtījuma apstiprinājuma e-pastu ar pasūtījuma informāciju un www saiti  lai sekotu tā progresam."
"Your Checkout Progress","Norēķināšanās"
"Your billing agreement # is: %s.","Your billing agreement # is: %s."
"Your order # is: %s.","Jūsu pasūtījuma # ir: %s."
"Your order cannot be completed at this time as there is no payment methods available for it.","Your order cannot be completed at this time as there is no payment methods available for it."
"Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address.","Your order cannot be completed at this time as there is no shipping methods available for it. Please make necessary changes in your shipping address."
"Your order has been received.","Your order has been received."
"Your order number is ","Your order number is "
"Your recurring payment profiles:","Your recurring payment profiles:"
"Zip/Postal Code","Pasta indekss"
